Autor,Gênero,Coautores Diretos,Centralidade Grau,Intermediacao (Betweenness),Proximidade (Closeness)
Heleno S. C. Junior,Masculino,5,0.00446,0.0,0.089943
Ecivaldo S. Matos,Masculino,5,0.00446,1e-05,0.00446
Edward C. Souza,Masculino,5,0.00446,0.0,0.094917
Romualdo Costa,Masculino,5,0.00446,0.0,0.094917
Leandro Galvao,Masculino,5,0.00446,0.0,0.094917
Samantha Vrabl,Feminino,5,0.00446,0.004855,0.110534
Clovis T. Fernandes,Masculino,5,0.00446,0.000162,0.021417
Matheus Paixao,Masculino,5,0.00446,0.0,0.004857
Paulo H. M. Maia,Masculino,5,0.00446,0.0,0.004857
Andre V. Tardelli,Masculino,5,0.00446,0.0,0.115741
Pablo E. L. Villanueva,Masculino,5,0.00446,0.0,0.115741
Gustavo Freitas,Masculino,5,0.00446,0.0,0.00519
Edgar N. A. G. Lima,Masculino,5,0.00446,0.0,0.00519
Sandra Mattos,Feminino,5,0.00446,0.0,0.00519
Fernanda C. A. Campos,Feminino,5,0.00446,0.0,0.089943
Lidia S. Ferreira,Feminino,5,0.00446,2e-06,0.015275
Waldir S. Moura,Masculino,5,0.00446,0.000461,0.116549
Patrick H. A. Belem,Masculino,5,0.00446,0.0,0.106903
Andreia S. Bos,Feminino,5,0.00446,0.0,0.00446
Ricardo Fleck,Masculino,5,0.00446,0.0,0.00446
Renato Ferreira,Masculino,5,0.00446,0.0,0.085058
Muller Miranda,Masculino,5,0.00446,0.0,0.085058
Geraldo C. Junior,Masculino,5,0.00446,0.0,0.00519
Flavio Steffens,Masculino,5,0.00446,0.0,0.099004
David R. B. Al-Ani,Masculino,5,0.00446,0.0,0.099004
Gabriel B. S. Pinto,Masculino,5,0.00446,2e-06,0.093956
Luciana S. Brito,Feminino,5,0.00446,0.0,0.115741
Cristiana P. Bispo,Feminino,5,0.00446,0.0,0.089846
Alberto Castro,Masculino,5,0.00446,0.000758,0.108995
Rommel Castro,Masculino,5,0.00446,0.0,0.004857
Regina M. M. Braga,Feminino,5,0.00446,0.0,0.089846
Marcelo F. Moreno,Masculino,5,0.00446,0.0,0.089846
Rossana M. C. Andrade,Feminino,5,0.00446,0.0,0.00519
Giliane Bernardi,Feminino,5,0.00446,0.0,0.00446
Andre Z. Cordenonsi,Masculino,5,0.00446,0.0,0.00446
Tarcila G. Silva,Feminino,5,0.00446,0.0,0.00446
Felipe M. Muller,Masculino,5,0.00446,0.0,0.00446
Diego O. Rodrigues,Masculino,5,0.00446,0.0,0.077531
Jackson G. Souza,Masculino,5,0.00446,0.0,0.077531
Parcilene F. Brito,Feminino,5,0.00446,0.0,0.077531
Carlos G. Araujo,Masculino,5,0.00446,0.0,0.090202
Aline F. A. Lima,Feminino,5,0.00446,0.0,0.080832
Andre L. C. Pinheiro,Masculino,5,0.00446,0.0,0.080832
Victor S. A. Menezes,Masculino,5,0.00446,0.0,0.089846
Jose M. David,Masculino,5,0.00446,0.0,0.075933
Kennya Siqueira,Feminino,5,0.00446,0.0,0.075933
Guilherme Barbosa,Masculino,5,0.00446,0.0,0.075933
Marcos E. Barreto,Masculino,5,0.00446,0.0,0.082023
David Lima,Masculino,5,0.00446,0.0,0.089206
Jonathas Santos,Masculino,5,0.00446,0.0,0.00446
Danielle Valente,Feminino,5,0.00446,0.0,0.00446
Diego Lopes,Masculino,5,0.00446,0.0,0.00446
Antonio Neto,Masculino,5,0.00446,0.0,0.089206
Lucilene Maciel,Feminino,5,0.00446,0.0,0.089206
Angélica F. S. Dias,Feminino,4,0.003568,0.0,0.10928
Marcio J. Mantau,Masculino,4,0.003568,0.000164,0.015661
Maison Melotti,Masculino,4,0.003568,1e-06,0.096712
Leliane N. Barros,Feminino,4,0.003568,0.0,0.096008
Tiago C. Franca,Masculino,4,0.003568,0.0,0.10704
Fabio Rangel,Masculino,4,0.003568,0.0,0.10704
Bernardo Stearns,Masculino,4,0.003568,0.0,0.10704
Ingrhid Theodoro,Feminino,4,0.003568,0.0,0.10704
Igor Wiese,Masculino,4,0.003568,0.000191,0.103162
Marcos A. G. Xavier,Masculino,4,0.003568,0.0,0.089685
Jose A. Suzano,Masculino,4,0.003568,0.0,0.112317
Luiz P. Carvalho,Masculino,4,0.003568,0.0,0.112317
Albert R. S. Catojo,Masculino,4,0.003568,0.0,0.09392
Daniel M. Alves,Masculino,4,0.003568,0.0,0.09392
Silvia T. Frizzarini,Feminino,4,0.003568,0.0,0.020709
Luana A. Santos,Feminino,4,0.003568,0.0,0.004371
Nazareno Andrade,Masculino,4,0.003568,5e-06,0.003568
Fabio E. W. Wai,Masculino,4,0.003568,0.0,0.004371
Yuri A. C. Sousa,Masculino,4,0.003568,0.0,0.004371
Jorge A. P. Junior,Masculino,4,0.003568,0.0,0.004371
Mariana Dos Santos,Feminino,4,0.003568,0.0,0.020709
Renata Wassermann,Feminino,4,0.003568,0.0,0.096008
Ricardo T. Souza,Masculino,4,0.003568,0.0,0.096008
Marisol S. Yucra,Feminino,4,0.003568,0.0,0.096008
Ana P. A. Santos,Feminino,4,0.003568,0.0,0.089814
Ricardo L. Menezes,Masculino,4,0.003568,0.0,0.089814
Gustavo M. Neto,Masculino,4,0.003568,0.0,0.089814
Diego A. S. Lisboa,Masculino,4,0.003568,0.0,0.081068
Caio V. S. Lopes,Masculino,4,0.003568,0.0,0.091219
Mateus B. Machado,Masculino,4,0.003568,0.0,0.091219
Laura S. Garcia,Feminino,4,0.003568,6e-06,0.003568
Elder Cirilo,Masculino,4,0.003568,0.0,0.108382
Ricardo R. Nunes,Masculino,4,0.003568,0.001514,0.114316
M.C. Pichiliani,Masculino,4,0.003568,0.0,0.003568
C.T. Fernandes,Masculino,4,0.003568,0.0,0.003568
C.M. Hirata,Masculino,4,0.003568,0.0,0.003568
Alberto C. Jr.,Masculino,4,0.003568,0.0,0.108382
Jose E. Brandao,Masculino,4,0.003568,5e-06,0.020709
Claudia Pimentel,Feminino,4,0.003568,2e-06,0.015373
Erica J. S. Scheffel,Feminino,4,0.003568,0.0,0.089685
Isabel Rosseti,Feminino,4,0.003568,0.0,0.073896
Aline Paes,Feminino,4,0.003568,0.0,0.073896
Gabriel Coelho,Masculino,4,0.003568,0.0,0.073896
Wagner Santos,Masculino,4,0.003568,0.0,0.073896
Iago Meijon,Masculino,4,0.003568,0.0,0.098576
Antonio A. Lima,Masculino,4,0.003568,0.0,0.09392
A.P.C. Silva,Masculino,4,0.003568,0.0,0.003568
C.D.M. Berkenbrock,Masculino,4,0.003568,0.0,0.003568
Clara M. Caldeira,Feminino,4,0.003568,0.0,0.081068
Greis F. M. Silva,Feminino,4,0.003568,0.004182,0.098692
Cleyton V. C. Magalhaes,Masculino,4,0.003568,0.0,0.004758
Marco A. Graciotto,Masculino,4,0.003568,0.0,0.103417
Ronnie E. S. Santos,Masculino,4,0.003568,0.0,0.004758
Jairo S. Dornelas,Masculino,4,0.003568,0.0,0.004758
Fernando H. Mourao,Masculino,4,0.003568,0.0,0.012529
Tatiana S. Silva,Feminino,4,0.003568,0.0,0.012529
Cristiana S. Silva,Feminino,4,0.003568,0.0,0.012529
Elizabeth S. Furtado,Feminino,4,0.003568,6e-06,0.003568
Leticia Viana,Feminino,4,0.003568,0.0,0.090397
Victor Lima,Masculino,4,0.003568,0.0,0.090397
Luisa Veloso,Feminino,4,0.003568,0.0,0.090397
Livian Pascoal,Feminino,4,0.003568,0.0,0.090397
